arena,arena_label,document_id,included,source_block,source_file,source_type
arxiv,arXiv (academic),arxiv_2010_1001.0255v2,1,,source\arxiv\2010\1001.0255v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.0368v1,1,,source\arxiv\2010\1001.0368v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.0735v2,1,,source\arxiv\2010\1001.0735v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.0746v3,1,,source\arxiv\2010\1001.0746v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.0820v1,1,,source\arxiv\2010\1001.0820v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.0827v1,1,,source\arxiv\2010\1001.0827v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.0830v1,1,,source\arxiv\2010\1001.0830v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.0833v2,1,,source\arxiv\2010\1001.0833v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.0921v1,1,,source\arxiv\2010\1001.0921v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.1020v1,1,,source\arxiv\2010\1001.1020v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.1122v2,1,,source\arxiv\2010\1001.1122v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.1257v1,1,,source\arxiv\2010\1001.1257v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.1401v3,1,,source\arxiv\2010\1001.1401v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.1653v1,1,,source\arxiv\2010\1001.1653v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.1836v1,1,,source\arxiv\2010\1001.1836v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.1889v1,1,,source\arxiv\2010\1001.1889v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.1979v1,1,,source\arxiv\2010\1001.1979v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.2097v1,1,,source\arxiv\2010\1001.2097v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.2155v1,1,,source\arxiv\2010\1001.2155v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.2170v1,1,,source\arxiv\2010\1001.2170v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.2195v1,1,,source\arxiv\2010\1001.2195v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.2208v2,1,,source\arxiv\2010\1001.2208v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.2277v1,1,,source\arxiv\2010\1001.2277v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.2279v1,1,,source\arxiv\2010\1001.2279v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.2391v2,1,,source\arxiv\2010\1001.2391v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.2405v1,1,,source\arxiv\2010\1001.2405v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.2411v1,1,,source\arxiv\2010\1001.2411v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.2665v1,1,,source\arxiv\2010\1001.2665v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.2709v1,1,,source\arxiv\2010\1001.2709v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.2813v1,1,,source\arxiv\2010\1001.2813v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.3014v1,1,,source\arxiv\2010\1001.3014v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.3113v2,1,,source\arxiv\2010\1001.3113v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.3745v3,1,,source\arxiv\2010\1001.3745v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.4019v1,1,,source\arxiv\2010\1001.4019v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.4251v1,1,,source\arxiv\2010\1001.4251v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.4314v1,1,,source\arxiv\2010\1001.4314v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.4405v1,1,,source\arxiv\2010\1001.4405v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.4443v1,1,,source\arxiv\2010\1001.4443v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.4892v1,1,,source\arxiv\2010\1001.4892v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1001.5244v3,1,,source\arxiv\2010\1001.5244v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0102v5,1,,source\arxiv\2010\1002.0102v5.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0108v1,1,,source\arxiv\2010\1002.0108v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0134v1,1,,source\arxiv\2010\1002.0134v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0136v1,1,,source\arxiv\2010\1002.0136v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0177v1,1,,source\arxiv\2010\1002.0177v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0184v1,1,,source\arxiv\2010\1002.0184v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0276v1,1,,source\arxiv\2010\1002.0276v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0378v2,1,,source\arxiv\2010\1002.0378v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0382v1,1,,source\arxiv\2010\1002.0382v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0411v1,1,,source\arxiv\2010\1002.0411v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0412v1,1,,source\arxiv\2010\1002.0412v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0414v1,1,,source\arxiv\2010\1002.0414v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0432v1,1,,source\arxiv\2010\1002.0432v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0449v2,1,,source\arxiv\2010\1002.0449v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0573v1,1,,source\arxiv\2010\1002.0573v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0696v1,1,,source\arxiv\2010\1002.0696v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0745v1,1,,source\arxiv\2010\1002.0745v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.0908v1,1,,source\arxiv\2010\1002.0908v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.1157v1,1,,source\arxiv\2010\1002.1157v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.1184v1,1,,source\arxiv\2010\1002.1184v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.1200v1,1,,source\arxiv\2010\1002.1200v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.1480v1,1,,source\arxiv\2010\1002.1480v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.2034v1,1,,source\arxiv\2010\1002.2034v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.2199v1,1,,source\arxiv\2010\1002.2199v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.2202v1,1,,source\arxiv\2010\1002.2202v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.2240v1,1,,source\arxiv\2010\1002.2240v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.2523v1,1,,source\arxiv\2010\1002.2523v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.2755v1,1,,source\arxiv\2010\1002.2755v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.2897v1,1,,source\arxiv\2010\1002.2897v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.3023v1,1,,source\arxiv\2010\1002.3023v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.3078v1,1,,source\arxiv\2010\1002.3078v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.3086v1,1,,source\arxiv\2010\1002.3086v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.3174v3,1,,source\arxiv\2010\1002.3174v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.3195v1,1,,source\arxiv\2010\1002.3195v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.3239v3,1,,source\arxiv\2010\1002.3239v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.3307v1,1,,source\arxiv\2010\1002.3307v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.4004v1,1,,source\arxiv\2010\1002.4004v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.4014v3,1,,source\arxiv\2010\1002.4014v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.4286v2,1,,source\arxiv\2010\1002.4286v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.4453v3,1,,source\arxiv\2010\1002.4453v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.4522v1,1,,source\arxiv\2010\1002.4522v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.4549v3,1,,source\arxiv\2010\1002.4549v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.4665v1,1,,source\arxiv\2010\1002.4665v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1002.4862v1,1,,source\arxiv\2010\1002.4862v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0034v1,1,,source\arxiv\2010\1003.0034v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0120v2,1,,source\arxiv\2010\1003.0120v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0146v2,1,,source\arxiv\2010\1003.0146v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0319v1,1,,source\arxiv\2010\1003.0319v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0339v2,1,,source\arxiv\2010\1003.0339v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0358v1,1,,source\arxiv\2010\1003.0358v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0404v1,1,,source\arxiv\2010\1003.0404v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0590v1,1,,source\arxiv\2010\1003.0590v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0617v1,1,,source\arxiv\2010\1003.0617v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0659v2,1,,source\arxiv\2010\1003.0659v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0696v1,1,,source\arxiv\2010\1003.0696v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0746v1,1,,source\arxiv\2010\1003.0746v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0789v1,1,,source\arxiv\2010\1003.0789v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0879v1,1,,source\arxiv\2010\1003.0879v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.0902v1,1,,source\arxiv\2010\1003.0902v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.1141v1,1,,source\arxiv\2010\1003.1141v1.txt,arXiv paper
