word,mean_jsd,sd_jsd,mean_rank,rank_min,rank_max,bridging_runs,faultline_runs
system,0.2116398602851381,0.018854949501692107,1.0,1,1,5,0
safety,0.35787354484390116,0.0,2.4,2,3,5,0
risk,0.372887982282704,0.0025566786495557436,4.2,3,5,1,0
model,0.37363805131476735,0.019008189989475753,4.2,2,6,2,0
algorithm,0.3803298564554799,0.010095052612756993,4.8,3,8,1,0
intelligence,0.3947720014381245,0.014609554646597753,6.2,5,7,0,0
understanding,0.4017529435177679,0.008672972159886745,7.0,5,9,0,0
learning,0.4047747325460042,0.03042847584444557,7.0,2,9,1,0
training,0.4175681456134517,0.02338888567176839,8.2,6,9,0,0
reasoning,0.48677114926386433,0.022167847034552046,10.0,10,10,0,0
network,0.5466909429255163,0.014397344959688113,11.6,11,12,0,0
bias,0.5533151560557892,0.020353052745316482,11.4,11,12,0,0
creativity,0.5819118380901541,0.0,13.0,13,13,0,0
generation,0.6264051311822179,0.012262620209731087,14.0,14,14,0,5
control,0.6871679435466844,0.010339862403579507,15.0,15,15,0,5
decision,0.7323756068395647,0.0034554782188939057,16.0,16,16,0,5
