word,comparison,jsd_mean,jsd_sd,jsd_min,jsd_max,scaled_jsd_mean,valid_controls_min,valid_controls_max
algorithm,NYT–WSJ,0.1874303646398109,0.0,0.1874303646398109,0.1874303646398109,0.3870967741935484,31,31
algorithm,NYT–arxiv,0.488183647345945,0.012731026752821664,0.47078762026957377,0.5022955616416707,,0,0
algorithm,WSJ–arxiv,0.46537555738068387,0.018322282979608098,0.4442480183562303,0.48484248860104034,,0,0
bias,NYT–arxiv,0.5533151560557892,0.020353052745316482,0.526883007971767,0.5812637542738429,0.4444444444444445,9,9
control,NYT–WSJ,0.45139803741790613,0.0,0.4513980374179061,0.4513980374179061,1.0,18,18
control,NYT–arxiv,0.811215241184948,0.01801828104651369,0.7915018093745063,0.8339034780225385,,0,0
control,WSJ–arxiv,0.7988905520371992,0.014356435715361607,0.7856536442714463,0.8180349196765777,1.0,4,4
creativity,NYT–arxiv,0.5819118380901541,0.0,0.5819118380901541,0.5819118380901541,0.44000000000000006,25,25
decision,NYT–WSJ,0.5185841769533558,0.0,0.5185841769533558,0.5185841769533558,0.967741935483871,31,31
decision,NYT–arxiv,0.8991834621117871,0.015569366364928429,0.8832761139120827,0.9224120496832805,1.0,4,4
decision,WSJ–arxiv,0.7793591814535513,0.01672221108077966,0.7581901040173262,0.7973918215838409,1.0,2,2
generation,NYT–WSJ,0.39857745231362873,0.0,0.39857745231362873,0.39857745231362873,1.0,33,33
generation,NYT–arxiv,0.8471402917774862,0.012138561935563775,0.8288233782262022,0.8580142711755472,0.9,10,10
generation,WSJ–arxiv,0.6334976494555385,0.025149413900276318,0.6031330811273456,0.6624728307391883,0.7555555555555555,9,9
intelligence,NYT–WSJ,0.20150935260462938,0.03334312958042308,0.16402267919297667,0.24227173127252496,0.75,8,8
intelligence,NYT–arxiv,0.526792045049311,0.01379771939513927,0.5106521207195673,0.5441571281929954,1.0,1,1
intelligence,WSJ–arxiv,0.45601460666043325,0.03140076050410409,0.4151846817775635,0.49607413775095355,0.2,1,1
learning,NYT–WSJ,0.1954984721100607,0.021816658195635826,0.16040410965638613,0.2188430645840524,0.5599999999999999,10,10
learning,NYT–arxiv,0.4750606958691386,0.050409259474779713,0.40013004120626405,0.5402373897033079,,0,0
learning,WSJ–arxiv,0.5437650296588133,0.03095933302150661,0.5078787336105672,0.5822744042470803,,0,0
model,NYT–WSJ,0.16962130638353481,0.014253031072683138,0.15327192601489473,0.1869037533794253,1.0,4,4
model,NYT–arxiv,0.43802802047252143,0.026873085005742564,0.4001825067673702,0.4754984060743954,,0,0
model,WSJ–arxiv,0.5132648270882456,0.030632918073028634,0.4772621911741569,0.5466892054978938,,0,0
network,NYT–WSJ,0.4234801247949508,0.004229812837208433,0.4196355659925063,0.42959167363283934,0.9200000000000002,25,25
network,NYT–arxiv,0.5340331799555053,0.0349812106400276,0.48357423508694525,0.5795742790146874,,0,0
network,WSJ–arxiv,0.682559524026093,0.009559276609493574,0.6664270719581851,0.6891722125945305,0.7,2,2
reasoning,NYT–arxiv,0.48677114926386433,0.022167847034552046,0.45043485214835655,0.5077122667753831,0.0,2,2
risk,NYT–WSJ,0.2940451368516283,0.0,0.2940451368516283,0.2940451368516283,0.8666666666666668,15,15
risk,NYT–arxiv,0.4395422281649742,0.0058348492158989875,0.432374857546893,0.44746600108544143,0.6666666666666666,6,6
risk,WSJ–arxiv,0.3850765818315094,0.004336992684741177,0.3779651935845974,0.3885824276623314,0.16666666666666666,6,6
safety,NYT–WSJ,0.30947479616934953,0.0,0.30947479616934953,0.30947479616934953,0.8275862068965518,29,29
safety,NYT–arxiv,0.42324457092462814,0.0,0.4232445709246282,0.4232445709246282,0.25,8,8
safety,WSJ–arxiv,0.34090126743772564,0.0,0.34090126743772564,0.34090126743772564,0.42857142857142855,7,7
system,NYT–WSJ,0.12812817456636835,0.014436646263318236,0.10630978595419235,0.13970952729641178,0.21818181818181817,11,11
system,NYT–arxiv,0.2421467797730153,0.01551339298183321,0.22744308453844583,0.261074461006501,0.0,1,1
system,WSJ–arxiv,0.2646446265160307,0.03672557104216302,0.22805203720047934,0.30602412677571666,0.0,1,1
training,NYT–WSJ,0.2577046877864303,0.0,0.2577046877864303,0.2577046877864303,0.7857142857142857,28,28
training,NYT–arxiv,0.5196429085858133,0.04010783545722933,0.4546674156112799,0.562984283209483,0.0,1,1
training,WSJ–arxiv,0.47535684046811133,0.030823261249218584,0.4257812705886009,0.5098011339939065,0.0,1,1
understanding,NYT–WSJ,0.3941415697527389,0.0,0.3941415697527389,0.3941415697527389,0.9245283018867925,53,53
understanding,NYT–arxiv,0.39252816648819294,0.013120487918955964,0.37886661141348166,0.40871223587889094,0.15555555555555553,9,9
understanding,WSJ–arxiv,0.418589094312372,0.014795687571851707,0.3979496213100042,0.4308967133811104,0.3818181818181818,11,11
