word,legacy_mean_jsd,legacy_class,corrected_mean_jsd,absolute_change,legacy_rank,corrected_rank,rank_change
system,0.2392318305851163,bridging,0.2116398602851381,-0.027591970299978202,1.0,1.0,0.0
safety,0.2845199429766262,bridging,0.3578735448439011,0.07335360186727491,3.0,2.0,-1.0
risk,0.3515298205372656,intermediate,0.3728879822827039,0.02135816174543831,11.0,3.0,-8.0
model,0.3208380013771363,intermediate,0.3736380513147673,0.05280004993763099,7.0,4.0,-3.0
algorithm,0.3259558285068661,intermediate,0.3803298564554799,0.05437402794861379,9.0,5.0,-4.0
intelligence,0.4549779730946522,intermediate,0.3947720014381245,-0.06020597165652769,18.0,6.0,-12.0
understanding,0.283493256774288,bridging,0.4017529435177679,0.11825968674347992,2.0,7.0,5.0
learning,0.4124163827446734,intermediate,0.40477473254600416,-0.0076416501986692476,15.0,8.0,-7.0
training,0.3212700759154916,intermediate,0.4175681456134516,0.09629806969796001,8.0,9.0,1.0
reasoning,0.3395363982687927,intermediate,0.48677114926386433,0.1472347509950716,10.0,10.0,0.0
network,0.3884058570255673,intermediate,0.5466909429255163,0.15828508589994905,13.0,11.0,-2.0
bias,0.3200532497675332,intermediate,0.5533151560557892,0.233261906288256,6.0,12.0,6.0
creativity,0.314399419990698,intermediate,0.5819118380901541,0.26751241809945614,5.0,13.0,8.0
generation,0.4539714736311089,intermediate,0.6264051311822177,0.17243365755110884,17.0,14.0,-3.0
control,0.4708710250413844,faultline,0.6871679435466844,0.21629691850530003,21.0,15.0,-6.0
decision,0.4560760633284395,intermediate,0.7323756068395647,0.27629954351112523,19.0,16.0,-3.0
agent,0.4524702888451141,intermediate,,,16.0,,
alignment,0.4861197536145522,faultline,,,23.0,,
autonomy,0.3976833569046822,intermediate,,,14.0,,
capability,0.2951271697790776,intermediate,,,4.0,,
fairness,0.3777211590034196,intermediate,,,12.0,,
prediction,0.4770944537023183,faultline,,,22.0,,
representation,0.4578841474884222,intermediate,,,20.0,,
