seed,word,mean_jsd,rank_low_to_high,bridging_top3,faultline_top3
11,system,0.18921933816990735,1,True,False
11,learning,0.35613762815773914,2,True,False
11,safety,0.35787354484390116,3,True,False
11,model,0.37094158072597966,4,False,False
11,risk,0.3736790114884861,5,False,False
11,training,0.379384457995437,6,False,False
11,intelligence,0.3874588759375992,7,False,False
11,algorithm,0.39152280496084063,8,False,False
11,understanding,0.4104099977843536,9,False,False
11,reasoning,0.4827938129443049,10,False,False
11,network,0.5253305152722249,11,False,False
11,bias,0.5812637542738429,12,False,False
11,creativity,0.5819118380901541,13,False,False
11,generation,0.6172581297621251,14,False,True
11,control,0.6768675126109587,15,False,True
11,decision,0.7330840374830933,16,False,True
22,system,0.23519829077341456,1,True,False
22,safety,0.35787354484390116,2,True,False
22,risk,0.371298771110733,3,True,False
22,algorithm,0.38572821243237304,4,False,False
22,understanding,0.39031926749207496,5,False,False
22,model,0.3942179386574822,6,False,False
22,intelligence,0.42030300407914,7,False,False
22,training,0.42225892822244754,8,False,False
22,learning,0.4393022894498553,9,False,False
22,reasoning,0.45043485214835655,10,False,False
22,network,0.5499180888708701,11,False,False
22,bias,0.5582647429858434,12,False,False
22,creativity,0.5819118380901541,13,False,False
22,generation,0.6396881847427881,14,False,True
22,control,0.6984352214943934,15,False,True
22,decision,0.7330621102179875,16,False,True
33,system,0.20054101127384724,1,True,False
33,safety,0.35787354484390116,2,True,False
33,algorithm,0.37207952625284674,3,True,False
33,risk,0.3735694586277321,4,False,False
33,intelligence,0.3869432211515369,5,False,False
33,model,0.3896871118484306,6,False,False
33,understanding,0.40211036129610433,7,False,False
33,learning,0.4065773729176791,8,False,False
33,training,0.4232559359851224,9,False,False
33,reasoning,0.49774785038373126,10,False,False
33,bias,0.5419642190377845,11,False,False
33,network,0.546414795953158,12,False,False
33,creativity,0.5819118380901541,13,False,False
33,generation,0.6308755542319598,14,False,True
33,control,0.6816929982569614,15,False,True
33,decision,0.7265054869340745,16,False,True
44,system,0.22640711775020853,1,True,False
44,safety,0.35787354484390116,2,True,False
44,model,0.3661892592450111,3,True,False
44,risk,0.3763022167512858,4,False,False
44,algorithm,0.38483007087613413,5,False,False
44,intelligence,0.39365090240635325,6,False,False
44,understanding,0.396174533026911,7,False,False
44,learning,0.40514593021950374,8,False,False
44,training,0.41944470420097807,9,False,False
44,reasoning,0.5077122667753831,10,False,False
44,bias,0.5582000560097081,11,False,False
44,network,0.5657171143304566,12,False,False
44,creativity,0.5819118380901541,13,False,False
44,generation,0.6340258166184906,14,False,True
44,control,0.6982101690413435,15,False,True
44,decision,0.7335370478476421,16,False,True
55,system,0.20683354345831292,1,True,False
55,model,0.34715436609693295,2,True,False
55,safety,0.35787354484390116,3,True,False
55,algorithm,0.367488667755205,4,False,False
55,risk,0.3695904534352829,5,False,False
55,intelligence,0.3855040036159933,6,False,False
55,understanding,0.40975055798939586,7,False,False
55,learning,0.4167104419852439,8,False,False
55,training,0.4434967016632732,9,False,False
55,reasoning,0.495166964067546,10,False,False
55,bias,0.526883007971767,11,False,False
55,network,0.5460742002008722,12,False,False
55,creativity,0.5819118380901541,13,False,False
55,generation,0.6101779705557255,14,False,True
55,control,0.6806338163297653,15,False,True
55,decision,0.7356893517150263,16,False,True
