seed,arena,arena_label,temporality,ontology
11,NYT,New York Times (public news),0.035664502651440486,-0.05179632050848726
11,WSJ,Wall Street Journal (business news),0.03900433200142543,-0.050061743730883804
11,arxiv,arXiv (academic),0.035355946244038025,-0.07650393998518196
22,NYT,New York Times (public news),0.03580770342436397,-0.05090525298590603
22,WSJ,Wall Street Journal (business news),0.03882323065193038,-0.05155164965704528
22,arxiv,arXiv (academic),0.03374105447175943,-0.07593263576137771
33,NYT,New York Times (public news),0.0357701707427553,-0.050211434422961575
33,WSJ,Wall Street Journal (business news),0.038899856511048846,-0.051541868108328504
33,arxiv,arXiv (academic),0.03398943387168054,-0.07664715968500604
44,NYT,New York Times (public news),0.035703109183782486,-0.05159627181896816
44,WSJ,Wall Street Journal (business news),0.03887519423893231,-0.04997756666313561
44,arxiv,arXiv (academic),0.03428605113899029,-0.07541271293227271
55,NYT,New York Times (public news),0.03587638702967079,-0.05003853388875538
55,WSJ,Wall Street Journal (business news),0.03911543306014326,-0.052152114033713406
55,arxiv,arXiv (academic),0.035231127271068745,-0.07960755214083665
