target,arena,eligible_sentences,threshold_met,missing_reason,arena_label,similarity_past_mean,similarity_past_sd,similarity_future_mean,similarity_future_sd,similarity_machine_mean,similarity_machine_sd,similarity_beyond_mean,similarity_beyond_sd,temporality_future_minus_past_mean,temporality_future_minus_past_sd,ontology_beyond_minus_machine_mean,ontology_beyond_minus_machine_sd,seeds
agent,NYT,69,False,BELOW_MINIMUM,New York Times (public news),,,,,,,,,,,,,
agent,WSJ,48,False,BELOW_MINIMUM,Wall Street Journal (business news),,,,,,,,,,,,,
agent,arxiv,2240,True,,arXiv (academic),0.3668826979875105,0.0035065776603593773,0.4000220590095168,0.004123148315793912,0.5501887215811812,0.003072622748011724,0.498752300431068,0.005639555296167067,0.033139361022006285,0.0028397258906031697,-0.051436421150113175,0.006433841789490842,5.0
algorithm,NYT,271,True,,New York Times (public news),0.3818460235228998,0.0,0.4165131825554334,0.0,0.6124385613083638,0.0,0.49117981295451807,0.0,0.03466715903253359,0.0,-0.12125874835384569,0.0,5.0
algorithm,WSJ,184,True,,Wall Street Journal (business news),0.38860117205133604,0.0,0.42612207817026915,0.0,0.6236305565046705,0.0,0.4955228133908335,0.0,0.03752090611893316,0.0,-0.128107743113837,0.0,5.0
algorithm,arxiv,3353,True,,arXiv (academic),0.38195506390447903,0.001384863142873361,0.4057138087943022,0.0013313985249945352,0.587541778450443,0.0014335349123728999,0.4453474288963001,0.004176886670546125,0.023758744889823137,0.001350977774868424,-0.1421943495541429,0.0030046428420355143,5.0
alignment,NYT,32,False,BELOW_MINIMUM,New York Times (public news),,,,,,,,,,,,,
alignment,WSJ,13,False,BELOW_MINIMUM,Wall Street Journal (business news),,,,,,,,,,,,,
alignment,arxiv,295,True,,arXiv (academic),0.37567406066527836,0.0,0.4129763486852097,0.0,0.5155100445053847,0.0,0.46844031226129257,0.0,0.037302288019931296,0.0,-0.047069732244092166,0.0,5.0
autonomy,NYT,50,False,BELOW_MINIMUM,New York Times (public news),,,,,,,,,,,,,
autonomy,WSJ,44,False,BELOW_MINIMUM,Wall Street Journal (business news),,,,,,,,,,,,,
autonomy,arxiv,103,True,,arXiv (academic),0.3612563749782415,0.0,0.3972143454118983,0.0,0.5104257605292208,0.0,0.4843848614816505,0.0,0.03595797043365684,0.0,-0.026040899047570343,0.0,5.0
bias,NYT,219,True,,New York Times (public news),0.36950528151501943,0.0,0.36423635418628786,0.0,0.4233332706711197,0.0,0.4455541607070493,0.0,-0.005268927328731576,0.0,0.022220890035929586,0.0,5.0
bias,WSJ,96,False,BELOW_MINIMUM,Wall Street Journal (business news),,,,,,,,,,,,,
bias,arxiv,703,True,,arXiv (academic),0.3561883528366421,0.003932144572498781,0.3657109373900969,0.0033041351114119033,0.44801092000073073,0.001550606677139746,0.43480956202534154,0.005264288962064497,0.009522584553454828,0.002232971218456937,-0.013201357975389173,0.0038791866581655405,5.0
capability,NYT,51,False,BELOW_MINIMUM,New York Times (public news),,,,,,,,,,,,,
capability,WSJ,54,False,BELOW_MINIMUM,Wall Street Journal (business news),,,,,,,,,,,,,
capability,arxiv,339,True,,arXiv (academic),0.35850747688135753,0.0,0.41846009988537036,0.0,0.47935556324511647,0.0,0.47736226734284093,0.0,0.05995262300401277,0.0,-0.0019932959022755936,0.0,5.0
control,NYT,423,True,,New York Times (public news),0.3920155413406148,0.0,0.4189328572794205,0.0,0.4611612280017197,0.0,0.46320513231596444,0.0,0.026917315938805697,0.0,0.0020439043142447266,0.0,5.0
control,WSJ,256,True,,Wall Street Journal (business news),0.38177994787644787,0.0,0.4051764595295625,0.0,0.4560549615414319,0.0,0.46458683916043053,0.0,0.023396511653114627,0.0,0.008531877618998707,0.0,5.0
control,arxiv,1583,True,,arXiv (academic),0.37076057110359706,0.006592271864961301,0.41803033377039533,0.005104601245374067,0.5655685472245549,0.0041504602311791955,0.47546318822839106,0.0039369195006928375,0.047269762666798255,0.0037319020369784256,-0.09010535899616379,0.006951657063012085,5.0
creativity,NYT,113,True,,New York Times (public news),0.3936106597760308,0.0,0.4133169431598243,0.0,0.47764148325926853,0.0,0.5407925643539968,0.0,0.019706283383793488,0.0,0.06315108109472822,0.0,5.0
creativity,WSJ,47,False,BELOW_MINIMUM,Wall Street Journal (business news),,,,,,,,,,,,,
creativity,arxiv,208,True,,arXiv (academic),0.3737471474348339,0.0,0.4034934318911653,0.0,0.5180340639941637,0.0,0.4994195803607897,0.0,0.02974628445633143,0.0,-0.018614483633374035,0.0,5.0
decision,NYT,206,True,,New York Times (public news),0.39530874890937434,0.0,0.43491861892523576,0.0,0.4506286865688421,0.0,0.4745511932490899,0.0,0.03960987001586136,0.0,0.023922506680247813,0.0,5.0
decision,WSJ,174,True,,Wall Street Journal (business news),0.40153643444944465,0.0,0.4447028861387155,0.0,0.4588192886680022,0.0,0.4764010637807819,0.0,0.04316645168927086,0.0,0.017581775112779696,0.0,5.0
decision,arxiv,2052,True,,arXiv (academic),0.3939457499716496,0.001322177372200334,0.41703964560112006,0.002431712910812853,0.5029493800565488,0.006161109400271819,0.46680120015454574,0.004697218329215773,0.023093895629470406,0.0016558859052424335,-0.03614817990200311,0.004690445295327845,5.0
