target,NYT_temporality_future_minus_past_mean,NYT_temporality_future_minus_past_sd,NYT_ontology_beyond_minus_machine_mean,NYT_ontology_beyond_minus_machine_sd,NYT_eligible_sentences,NYT_missing_reason,WSJ_temporality_future_minus_past_mean,WSJ_temporality_future_minus_past_sd,WSJ_ontology_beyond_minus_machine_mean,WSJ_ontology_beyond_minus_machine_sd,WSJ_eligible_sentences,WSJ_missing_reason,arxiv_temporality_future_minus_past_mean,arxiv_temporality_future_minus_past_sd,arxiv_ontology_beyond_minus_machine_mean,arxiv_ontology_beyond_minus_machine_sd,arxiv_eligible_sentences,arxiv_missing_reason
agent,,,,,69,BELOW_MINIMUM,,,,,48,BELOW_MINIMUM,0.033139361022006285,0.0028397258906031697,-0.051436421150113175,0.006433841789490842,2240,
algorithm,0.03466715903253359,0.0,-0.12125874835384569,0.0,271,,0.03752090611893316,0.0,-0.128107743113837,0.0,184,,0.023758744889823137,0.001350977774868424,-0.1421943495541429,0.0030046428420355143,3353,
alignment,,,,,32,BELOW_MINIMUM,,,,,13,BELOW_MINIMUM,0.037302288019931296,0.0,-0.047069732244092166,0.0,295,
autonomy,,,,,50,BELOW_MINIMUM,,,,,44,BELOW_MINIMUM,0.03595797043365684,0.0,-0.026040899047570343,0.0,103,
bias,-0.005268927328731576,0.0,0.022220890035929586,0.0,219,,,,,,96,BELOW_MINIMUM,0.009522584553454828,0.002232971218456937,-0.013201357975389173,0.0038791866581655405,703,
capability,,,,,51,BELOW_MINIMUM,,,,,54,BELOW_MINIMUM,0.05995262300401277,0.0,-0.0019932959022755936,0.0,339,
control,0.026917315938805697,0.0,0.0020439043142447266,0.0,423,,0.023396511653114627,0.0,0.008531877618998707,0.0,256,,0.047269762666798255,0.0037319020369784256,-0.09010535899616379,0.006951657063012085,1583,
creativity,0.019706283383793488,0.0,0.06315108109472822,0.0,113,,,,,,47,BELOW_MINIMUM,0.02974628445633143,0.0,-0.018614483633374035,0.0,208,
decision,0.03960987001586136,0.0,0.023922506680247813,0.0,206,,0.04316645168927086,0.0,0.017581775112779696,0.0,174,,0.023093895629470406,0.0016558859052424335,-0.03614817990200311,0.004690445295327845,2052,
fairness,,,,,24,BELOW_MINIMUM,,,,,16,BELOW_MINIMUM,0.023911068500692856,0.0,-0.027022004676363176,0.0,485,
generation,1.5122922382093673e-05,0.0,-0.01757279753259461,0.0,319,,0.014550860434862756,0.0,-0.015270833342490298,0.0,273,,0.047825544130616446,0.001474723338125699,-0.0822471166133926,0.003564429671742093,1261,
intelligence,0.04905116679446801,0.0013990399835580765,-0.09681407391580643,0.008525592991136716,12402,,0.05198437234809541,0.000823791444090955,-0.10310249999946489,0.007828493381797306,6537,,0.03761821045921619,0.0014947066777571852,-0.06644439613333755,0.001517433727567916,3936,
learning,0.041776922182637385,0.0019963856904397495,-0.08156581243951347,0.011232551446602831,2237,,0.04391777704572438,0.0012414483534658963,-0.08230647814736837,0.004911636341862664,1747,,0.026880434091581508,0.0033868798801717035,-0.08469850115414826,0.0026451393262593706,20874,
model,0.03072380753890015,0.002038537433244874,-0.11526345025835032,0.0035792793477759603,872,,0.0375601419592312,0.0010128862780397453,-0.12097156304374383,0.002620102422634045,654,,0.02399336113449818,0.0019093035752046261,-0.1285819892381171,0.0030314491055281096,11613,
network,0.02533226334983968,0.0004419792164920544,-0.05951733014162321,0.0014326306797199223,671,,0.028122498931261564,0.0,-0.05140063920497623,0.0,235,,0.023733892204445117,0.0016983690562659792,-0.10054025129541366,0.007392861917673686,9774,
prediction,,,,,63,BELOW_MINIMUM,,,,,30,BELOW_MINIMUM,0.04470982814402593,0.002894386811344294,-0.06354043015578373,0.0030352138113618685,1628,
reasoning,0.031255784316324475,0.0,0.026587272820063568,0.0,118,,,,,,65,BELOW_MINIMUM,0.038806651181559515,0.0028140327404956316,-0.0651917923629403,0.006078662838703987,1161,
representation,,,,,11,BELOW_MINIMUM,,,,,7,BELOW_MINIMUM,0.02580100201227815,0.0008607054213040306,-0.06590500280055832,0.0038401869477512037,1373,
risk,0.07479323364562379,0.0,0.011346066966216373,0.0,334,,0.08192449130989493,0.0,0.021359922155361588,0.0,318,,0.044809392571995274,0.0003984220777846473,0.009759202171609027,0.0009511205903077704,520,
safety,0.03458168600381778,0.0,0.00863517568610761,0.0,452,,0.03610139195945877,0.0,-0.0077320293917454985,0.0,284,,0.03559360954211932,0.0,-0.013626943462010044,0.0,424,
system,0.04049355799295109,0.0007695984820393492,-0.1369993707415357,0.0014121911176328758,1521,,0.041081620204795666,0.0006126598263289215,-0.14029008015860783,0.0027975620934280504,764,,0.03745385092513408,0.0011971634315983714,-0.13462043479453795,0.007867865111535671,4468,
training,0.03875043237353981,0.0,-0.06898921348612297,0.0,457,,0.04686216208370664,0.0,-0.08031095598135912,0.0,449,,0.035864028446257044,0.0029289707056201304,-0.07810159316262634,0.0031541950112176486,5810,
understanding,0.028224332091873416,0.0,-0.009791172202627929,0.0,233,,0.020077735066698632,0.0,0.0182783977943759,0.0,136,,0.040874667101641296,0.003199734172732058,-0.05112048917787095,0.0041552852618770625,958,
