target,arena,extracted_sentences,eligible_sentences,phrase_adjusted_sentences,removed_non_ai,minimum_required,sample_cap,sampled_if_run,threshold_met,missing_reason,removed_percent,phrase_adjusted_percent_of_eligible
agent,NYT,348,69,9,279,100,500,69,False,BELOW_MINIMUM,80.17241379310344,13.043478260869565
agent,WSJ,215,48,15,167,100,500,48,False,BELOW_MINIMUM,77.67441860465117,31.25
agent,arxiv,26372,2240,159,24132,100,500,500,True,,91.50614287881086,7.098214285714286
algorithm,NYT,1332,271,0,1061,100,500,271,True,,79.65465465465465,0.0
algorithm,WSJ,777,184,0,593,100,500,184,True,,76.31917631917632,0.0
algorithm,arxiv,51951,3353,0,48598,100,500,500,True,,93.54584127350773,0.0
alignment,NYT,98,32,0,66,100,500,32,False,BELOW_MINIMUM,67.34693877551021,0.0
alignment,WSJ,31,13,0,18,100,500,13,False,BELOW_MINIMUM,58.064516129032256,0.0
alignment,arxiv,2346,295,0,2051,100,500,295,True,,87.42540494458653,0.0
autonomy,NYT,311,50,0,261,100,500,50,False,BELOW_MINIMUM,83.92282958199357,0.0
autonomy,WSJ,159,44,0,115,100,500,44,False,BELOW_MINIMUM,72.32704402515724,0.0
autonomy,arxiv,477,103,0,374,100,500,103,True,,78.40670859538784,0.0
bias,NYT,684,219,0,465,100,500,219,True,,67.98245614035088,0.0
bias,WSJ,257,96,0,161,100,500,96,False,BELOW_MINIMUM,62.64591439688716,0.0
bias,arxiv,5008,703,0,4305,100,500,500,True,,85.96246006389777,0.0
capability,NYT,232,51,0,181,100,500,51,False,BELOW_MINIMUM,78.01724137931035,0.0
capability,WSJ,178,54,0,124,100,500,54,False,BELOW_MINIMUM,69.66292134831461,0.0
capability,arxiv,1985,339,0,1646,100,500,339,True,,82.92191435768262,0.0
control,NYT,3061,423,0,2638,100,500,423,True,,86.18098660568441,0.0
control,WSJ,1507,256,0,1251,100,500,256,True,,83.01260783012607,0.0
control,arxiv,11238,1583,0,9655,100,500,500,True,,85.91386367681082,0.0
creativity,NYT,448,113,0,335,100,500,113,True,,74.77678571428571,0.0
creativity,WSJ,163,47,0,116,100,500,47,False,BELOW_MINIMUM,71.16564417177914,0.0
creativity,arxiv,541,208,0,333,100,500,208,True,,61.55268022181146,0.0
decision,NYT,1923,206,0,1717,100,500,206,True,,89.28757150286012,0.0
decision,WSJ,950,174,0,776,100,500,174,True,,81.6842105263158,0.0
decision,arxiv,17278,2052,0,15226,100,500,500,True,,88.12362541960876,0.0
fairness,NYT,108,24,0,84,100,500,24,False,BELOW_MINIMUM,77.77777777777777,0.0
fairness,WSJ,58,16,0,42,100,500,16,False,BELOW_MINIMUM,72.41379310344827,0.0
fairness,arxiv,2419,485,0,1934,100,500,485,True,,79.95039272426622,0.0
generation,NYT,1463,319,0,1144,100,500,319,True,,78.19548872180451,0.0
generation,WSJ,974,273,0,701,100,500,273,True,,71.97125256673512,0.0
generation,arxiv,8345,1261,0,7084,100,500,500,True,,84.88915518274416,0.0
