rank,NYT_substitute,NYT_probability,WSJ_substitute,WSJ_probability,arxiv_substitute,arxiv_probability
1,program,0.13539199560460877,system,0.1468224309574218,model,0.13188109526567596
2,system,0.12042797912189784,program,0.09484729625357287,method,0.10335559080828705
3,software,0.05910384969925422,software,0.061408149047479654,system,0.07855755404130002
4,technology,0.04070025625922753,ai,0.04863051796927312,approach,0.07039228050206697
5,individual,0.028108921401812245,technology,0.04037145367889952,technique,0.055897802652935036
6,engine,0.02548782585260266,computer,0.037788588615462054,program,0.030332493980087184
7,technique,0.024767225930582986,app,0.031954972320223346,algorithms,0.027035036489340546
8,computer,0.02436535050591267,approach,0.02784148238499869,process,0.02644356485993409
9,tool,0.023935469410945796,machine,0.02443486326629102,problem,0.025727801873585022
10,application,0.023307511494265975,application,0.022218151315491402,software,0.021601453369665374
