rank,NYT_substitute,NYT_probability,WSJ_substitute,WSJ_probability,arxiv_substitute,arxiv_probability
1,technology,0.1462310236039106,technology,0.16891527329714456,ai,0.24904977980816312
2,computers,0.054864549047063574,ai,0.10740801710904627,learning,0.0565332019442763
3,engineering,0.0494508708101524,computers,0.05214099231180882,mathematics,0.0449728267719388
4,robotics,0.043963695660536005,robotics,0.05009479818320168,science,0.0442488268510172
5,software,0.040058659660462265,software,0.04035437893571746,research,0.04280497594104213
6,ai,0.033219179783780695,research,0.028076188615121934,systems,0.031776196169841064
7,internet,0.03113034432080068,china,0.02166101905245312,technology,0.030020429797984846
8,computer,0.03098898052015805,technologies,0.021578457440915143,computing,0.027487646615879036
9,computing,0.025348095807251492,automation,0.020781184389678457,analysis,0.025536877213361113
10,science,0.025241515025218656,computing,0.019532107437829748,engineering,0.024370525111887562
