word,is_target
able,False
abroad,False
absurd,False
abused,False
abusive,False
academics,False
accompanied,False
accomplished,False
accustomed,False
acted,False
actively,False
activism,False
adapt,False
add,False
added,False
adjust,False
adjusting,False
admissions,False
adults,False
advanced,False
advantages,False
advertisements,False
advisory,False
affect,False
affordable,False
africa,False
after,False
age,False
agent,True
ages,False
aggressive,False
aging,False
agree,False
agreement,False
agreements,False
aircraft,False
alert,False
algorithm,True
alignment,True
all,False
alliance,False
allow,False
allowed,False
allows,False
almost,False
alone,False
along,False
alongside,False
altman,False
aluminum,False
america,False
amount,False
amounts,False
analyzed,False
andrew,False
animal,False
announced,False
answer,False
antitrust,False
any,False
anywhere,False
appearances,False
applicants,False
applying,False
approaches,False
apps,False
arabia,False
area,False
argentina,False
arms,False
around,False
arsenal,False
article,False
aside,False
ask,False
asking,False
asks,False
assess,False
assignments,False
assistance,False
assistant,False
associated,False
assumed,False
assuming,False
attention,False
attitudes,False
attracted,False
attractive,False
augmented,False
austin,False
author,False
auto,False
automate,False
autonomous,False
autonomy,True
autor,False
away,False
baked,False
ban,False
banned,False
bar,False
barely,False
barrett,False
barriers,False
basic,False
bay,False
bear,False
beatles,False
beginning,False
behalf,False
behavior,False
behind,False
beijing,False
belief,False
believe,False
belong,False
benefits,False
bent,False
beta,False
beyond,False
bias,True
biases,False
big,False
biggest,False
billionaire,False
biological,False
bit,False
black,False
blade,False
blockchain,False
board,False
boards,False
boat,False
bodies,False
body,False
borrow,False
boss,False
bought,False
breaking,False
breakthrough,False
bright,False
bring,False
brings,False
broadcasting,False
broadly,False
broken,False
brother,False
brought,False
brown,False
browsers,False
brutal,False
brynjolfsson,False
built,False
bullying,False
bureaucracy,False
businesses,False
buyers,False
buzzfeed,False
cabinet,False
cables,False
calculations,False
calendar,False
call,False
calls,False
came,False
cameras,False
candidate,False
cap,False
capability,True
capitalist,False
captured,False
capturing,False
cards,False
careful,False
caregivers,False
cargo,False
carnegie,False
carries,False
cars,False
cases,False
causing,False
censor,False
censorship,False
certain,False
certainly,False
ces,False
chairs,False
challenges,False
charitable,False
charts,False
chase,False
chasing,False
checks,False
chess,False
choices,False
choose,False
choosing,False
chose,False
claim,False
class,False
classes,False
clear,False
clearly,False
click,False
clips,False
close,False
co-workers,False
cohen,False
coherent,False
cold,False
collaborating,False
colleges,False
column,False
combat,False
